epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,1687.51,1.08506,0.56179,1.13291,0.89183,0.85123,0.91073,0.57345,1.26346,0.66738,1.322,0.000247716,0.000247716,0.000247716
88,1707.16,1.09622,0.59428,1.14021,0.89179,0.87267,0.90493,0.57281,1.25055,0.66717,1.31758,0.000231213,0.000231213,0.000231213
89,1726.63,1.09444,0.57374,1.13504,0.85799,0.90612,0.90965,0.57579,1.25907,0.67771,1.32613,0.00021471,0.00021471,0.00021471
90,1745.52,1.08863,0.57696,1.13764,0.85866,0.90541,0.90929,0.55934,1.31981,0.69056,1.35418,0.000198206,0.000198206,0.000198206
91,1779.16,1.08302,0.57818,1.11977,0.87543,0.87948,0.90918,0.60111,1.18411,0.65903,1.26501,0.000181703,0.000181703,0.000181703
92,1797.99,1.1013,0.58232,1.14335,0.89103,0.86775,0.91331,0.58612,1.20676,0.6426,1.28172,0.0001652,0.0001652,0.0001652
93,1816.55,1.08078,0.57116,1.13693,0.88339,0.8711,0.90863,0.57849,1.23873,0.65796,1.30681,0.000148696,0.000148696,0.000148696
94,1835.95,1.07839,0.5664,1.13709,0.86126,0.90412,0.91692,0.59645,1.19616,0.64067,1.28075,0.000132193,0.000132193,0.000132193
95,1855.59,1.08204,0.56809,1.13527,0.88055,0.87812,0.91687,0.59414,1.20958,0.6447,1.27498,0.00011569,0.00011569,0.00011569
96,1874.8,1.05279,0.55153,1.10825,0.87859,0.88867,0.91894,0.58598,1.23919,0.64422,1.30139,9.91865e-05,9.91865e-05,9.91865e-05
97,1893.59,1.07993,0.58503,1.13448,0.88924,0.87511,0.92141,0.59274,1.22273,0.63187,1.29179,8.26832e-05,8.26832e-05,8.26832e-05
98,1912.8,1.06051,0.55509,1.11308,0.89444,0.86758,0.91881,0.59093,1.23556,0.62967,1.29709,6.61799e-05,6.61799e-05,6.61799e-05
99,1931.89,1.05995,0.53994,1.10816,0.85847,0.90261,0.91696,0.58955,1.22131,0.63674,1.29338,4.96766e-05,4.96766e-05,4.96766e-05
100,1950.97,1.03837,0.5452,1.10094,0.88886,0.8721,0.9173,0.5971,1.20789,0.63345,1.28757,3.31733e-05,3.31733e-05,3.31733e-05
